GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
softfly-integ-samples-invoice-java/softfly-integ-core,pl.softfly.integ.doc.recognize,DocumentRecognizeFormatUtil,7,61,3,7,2,18,4,4,1,2
softfly-integ-samples-invoice-java/softfly-integ-core,pl.softfly.integ.doc.recognize,DocumentRecognizeFormatWrapper,18,0,0,0,7,0,4,0,4,0
softfly-integ-samples-invoice-java/softfly-integ-core,pl.softfly.integ.doc.recognize,DocumentRecognizeFormatBean,4,45,0,2,2,12,1,5,1,4
softfly-integ-samples-invoice-java/softfly-integ-core,pl.softfly.integ.shipment.out,OutgoingShipmentBean,10,252,2,28,4,63,4,25,2,12
softfly-integ-samples-invoice-java/softfly-integ-core,pl.softfly.integ.shipment.out,CostAscOutgoingShipmentComparator,2,29,2,2,0,4,2,2,0,2
softfly-integ-samples-invoice-java/softfly-integ-core,pl.softfly.integ.shipment.out,TransformOutgoingShipmentBean,5,125,4,10,2,30,5,7,1,4
softfly-integ-samples-invoice-java/softfly-integ-core,pl.softfly.integ.endpoint,SenderEndpointBean,4,56,0,4,2,16,1,7,1,5
softfly-integ-samples-invoice-java/softfly-integ-core,pl.softfly.integ.shipment.entity,ShipmentOutgoingStatus,0,90,0,0,0,10,0,2,0,2
softfly-integ-samples-invoice-java/softfly-integ-core,pl.softfly.integ.shipment.entity,ShipmentOutgoing,0,17,0,0,0,7,0,5,0,5
softfly-integ-samples-invoice-java/softfly-integ-core,pl.softfly.integ.shipment.entity,ShipmentIncoming,3,7,0,0,1,3,1,2,1,2
softfly-integ-samples-invoice-java/softfly-integ-core,pl.softfly.integ.shipment.entity,Shipment,47,52,2,4,7,13,6,7,4,6
softfly-integ-samples-invoice-java/softfly-integ-core,pl.softfly.integ.shipment.entity,ShipmentIncomingStatus,0,77,0,0,0,9,0,2,0,2
softfly-integ-samples-invoice-java/softfly-integ-core,pl.softfly.integ.doc.validation.schema,DocumentValidationSchemaBean,0,78,0,8,0,21,0,9,0,5
softfly-integ-samples-invoice-java/softfly-integ-core,pl.softfly.integ.entity,Participant,21,3,0,0,9,1,6,1,6,1
softfly-integ-samples-invoice-java/softfly-integ-core,pl.softfly.integ.doc.validation.business,DocumentValidationBusinessBean,4,98,0,8,2,26,1,11,1,7
softfly-integ-samples-invoice-java/softfly-integ-core,pl.softfly.integ.shipment.in,AbstractIncomingShipmentBean,0,84,0,0,0,23,0,6,0,6
softfly-integ-samples-invoice-java/softfly-integ-core,pl.softfly.integ.doc.entity,DocumentBusinessType,10,7,0,0,4,3,3,2,3,2
softfly-integ-samples-invoice-java/softfly-integ-core,pl.softfly.integ.doc.entity,DocumentBody,7,31,0,0,3,13,2,9,2,9
softfly-integ-samples-invoice-java/softfly-integ-core,pl.softfly.integ.doc.entity,DocumentFormat,19,17,0,0,4,7,3,5,3,5
softfly-integ-samples-invoice-java/softfly-integ-core,pl.softfly.integ.doc.entity,DocumentHeader,17,42,0,0,7,18,5,12,5,12
softfly-integ-samples-invoice-java/softfly-integ-core,pl.softfly.integ.doc.repository,DocumentFormatRepositoryBean,4,58,0,2,2,15,1,9,1,8
softfly-integ-samples-invoice-java/softfly-integ-core,pl.softfly.integ.doc.repository,DocumentHeaderRepositoryBean,2,30,1,1,1,10,1,3,0,3
softfly-integ-samples-invoice-java/softfly-integ-core,pl.softfly.integ.doc.repository,DocumentBusinessTypeRepositoryBean,0,33,0,2,0,9,0,5,0,4
softfly-integ-samples-invoice-java/softfly-integ-core,pl.softfly.integ.endpoint.entity,Endpoint,22,21,0,0,5,9,4,6,4,6
softfly-integ-samples-invoice-java/softfly-integ-core,pl.softfly.integ.doc.parser,DocumentParserBean,4,83,0,0,2,19,1,6,1,6
softfly-integ-samples-invoice-java/softfly-integ-core,pl.softfly.integ.endpoint.repository,EndpointRepositoryBean,4,100,0,4,2,26,1,10,1,8
softfly-integ-samples-invoice-java/softfly-integ-core,pl.softfly.integ.doc.transformation,DocumentTransformationBean,0,54,0,0,0,13,0,4,0,4
